country,country_code,indicator,indicator_code,year,value
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1960,89.7150749167731
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1961,75.9655011127574
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1962,71.0616845971262
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1963,74.4681540864463
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1964,85.6611074645449
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1965,98.6681688740435
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1966,104.50646350178
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1967,96.7614480104016
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1968,91.6454581848979
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1969,100.308139479526
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1970,113.346243039894
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1971,118.84249157909
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1972,132.097410431007
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1973,157.339888078555
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1974,160.402546852304
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,178.621249282085
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,165.680987722637
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,185.728620718294
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1978,156.655616850835
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1979,184.285853059043
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1980,195.149479992051
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1981,197.425510967822
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1982,203.722788366928
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1983,225.86534696156
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1984,251.192686463827
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1985,295.007445815897
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1986,282.445603096707
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1987,252.256760114454
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1988,284.023573149686
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1989,311.429461227032
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1990,318.50335359039
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1991,334.130288119078
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1992,367.822651903542
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1993,378.939353053314
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1994,475.677874448369
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1995,612.680277898627
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1996,713.337387811657
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1997,786.743548510999
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1998,835.095348597432
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1999,881.146614068925
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,969.199513696287
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,1065.40597574519
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2002,1163.55957673426
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,1306.97245408557
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2004,1530.92726215723
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2005,1777.64496828464
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2006,2129.25696999613
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2007,2734.72709877693
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2008,3523.44302065213
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2009,3898.24459158811
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2010,4629.24551710077
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2011,5703.76027973346
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2012,6405.0574241349
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2013,7147.03518622344
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,7781.06597484974
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,8175.33285077393
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2016,8254.86859320357
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2017,8979.67652709856
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2018,10085.6638148819
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2019,10342.9009524335
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,10627.4637989619
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,12887.4357242941
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,12970.6056414327
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,12951.1782397043
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2024,13303.1481543868
