country,country_code,indicator,indicator_code,year,value
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1960,508334413.965087
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1961,531959561.62226
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1962,574091101.194382
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1963,496947904.443033
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1964,496098775.308642
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1965,735267082.294264
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1966,906811943.824649
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1967,841974025.462659
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1968,772231386.914829
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1969,788641965.432099
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1970,865975308.641975
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1971,882765471.604938
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1972,1024098400.35619
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1973,972101724.995368
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1974,1217953546.97604
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1975,1575789254.46938
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1976,1452788984.86265
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1977,1382400000.0
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1978,1604162497.45945
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1979,1851250008.33333
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1980,1945916583.33333
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1981,2275583316.66667
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1982,2395423741.79762
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1983,2447174803.37791
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1984,2581207387.79709
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1985,2619913955.51556
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1986,2850782044.04306
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1987,2957255379.54315
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1988,3487009748.35638
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1989,3525225786.58691
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1990,3627560239.48997
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1991,3921476084.89072
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1992,3401211581.29176
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1993,3660041666.66667
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1994,4066775510.20408
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1995,4401104417.67068
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1996,4521580381.47139
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1997,4918691916.53516
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1998,4856255044.39064
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1999,5033642384.10596
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2000,5494252207.90502
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2001,6007055042.17687
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2002,6050875806.66403
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2003,6330473096.54071
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2004,7273938314.71988
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2005,8130258377.90964
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2006,9043715355.8881
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2007,10325618017.379
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2008,12545438605.3959
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2009,12854985464.0764
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2010,16002656434.4746
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2011,21573872420.7008
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2012,21703100877.1309
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2013,22162204924.5726
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2014,22731612922.1906
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2015,24360801286.7638
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2016,24524109483.5293
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2017,28971588940.364
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2018,33111525237.149
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2019,34186180699.0255
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2020,33433659301.2466
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2021,36924841394.2605
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2022,41182939600.6209
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2023,41047772331.0994
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2024,42914268286.7109
